 Rel. error || Time (s) || Iterations || Stop info || Tensor order || Dimensions || Rank || Optimizer ||
 1.29 || 8.29 || 370 || 4 || 4 ||8x8x8x8x || 3 || ls-cpd/nls_gndl
 1.78 || 19.96 || 2000 || 3 || 3 ||10x10x10x || 3 || ls-cpd/nls_gndl
 0.00 || 40.98 || 1192 || 4 || 4 ||10x10x10x10x || 3 || ls-cpd/nls_gndl
 0.00 || 8.59 || 200 || 3 || 4 ||10x10x10x10x || 3 || ls-cpd/nls_gndl
 3.308e-05 || 11.09 || 200 || 3 || 4 ||10x10x10x10x || 3 || ls-cpd/nls_gndl
 3.308e-05 || 8.79 || 200 || 3 || 4 ||10x10x10x10x || 3 || ls-cpd/nls_gndl
 8.535e-04 || 0.74 || 3 || 4 || 4 ||10x10x10x10x || 3 || ls-cpd/nls_gndl
 8.535e-04 || 0.67 || 3 || 4 || 4 ||10x10x10x10x || 3 || 20 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 8.535e-04 || 0.70 || 3 || 4 || 4 ||10x10x10x10x || 3 || 20 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 4.782e-04 || 5.97 || 200 || 3 || 4 ||10x10x10x10x || 3 || 100 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 3.462e+01 || 41.07 || 2000 || 3 || 4 ||10x10x10x10x || 3 || 100 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 5.418e-04 || 34.94 || 1671 || 4 || 4 ||10x10x10x10x || 3 || 100 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 2.210e-11 || 39.92 || 1192 || 4 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 1.151e-11 || 3.92 || 39 || 4 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 1.151e-11 || 3.93 || 39 || 4 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 4.421e-12 || 2.92 || 9 || 4 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 4.421e-12 || 3.02 || 9 || 4 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 4.421e-12 || 2.97 || 9 || 4 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 Rel. error || Time (s) || Iterations|| Stop info || Tensor order || Dimensions || Rank || Nº Datapoints || Optimizer
 4.421e-12 || 2.97 || 9 || 4 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 6.940e+00 || 6.45 || 80 || 2 || 4 ||10x10x10x10x || 3 || 150 || ls-cpd/nls_gndl
 2.071e+00 || 0.19 || 11 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 8.122e-01 || 0.09 || 10 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 8.122e-01 || 0.09 || 10 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 8.122e-01 || 0.10 || 10 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 8.122e-01 || 0.09 || 10 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 8.122e-01 || 0.09 || 10 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
 8.122e-01 || 0.10 || 10 || 4 || 3 ||3x3x3x || 3 || 100 || ls-cpd/nls_gndl
